# Exported using VGG Image Annotator (http://www.robots.ox.ac.uk/~vgg/software/via)
# CSV_HEADER = metadata_id,file_list,temporal_segment_start,temporal_segment_end,metadata
"44_KeiaX6gb","[""VID_20231118_124815.mp4""]",2,2.571,"{""TEMPORAL-SEGMENTS"":""1""}"
"45_wUwQx4oR","[""VID_20231118_124821.mp4""]",0,0.26,"{""TEMPORAL-SEGMENTS"":""1""}"
"45_c1lrEUtz","[""VID_20231118_124821.mp4""]",0.26,1.88,"{""TEMPORAL-SEGMENTS"":""0""}"
"45_EXzBGpQU","[""VID_20231118_124821.mp4""]",1.88,2.262,"{""TEMPORAL-SEGMENTS"":""1""}"
"46_pADbRAIR","[""VID_20231118_124826.mp4""]",0,0.44,"{""TEMPORAL-SEGMENTS"":""1""}"
"46_STib80tm","[""VID_20231118_124826.mp4""]",0.44,1.76,"{""TEMPORAL-SEGMENTS"":""0""}"
"46_BB1ZfYw0","[""VID_20231118_124826.mp4""]",1.76,2.263,"{""TEMPORAL-SEGMENTS"":""1""}"
"47_dcDq5MAP","[""VID_20231118_124831.mp4""]",0,0.32,"{""TEMPORAL-SEGMENTS"":""1""}"
"47_eAq5sZd4","[""VID_20231118_124831.mp4""]",0.32,1.82,"{""TEMPORAL-SEGMENTS"":""0""}"
"47_vsXoEzlV","[""VID_20231118_124831.mp4""]",1.82,2.112,"{""TEMPORAL-SEGMENTS"":""1""}"
"48_panO4FPS","[""VID_20231118_124836.mp4""]",0.16,1.48,"{""TEMPORAL-SEGMENTS"":""0""}"
"48_qPNns7mr","[""VID_20231118_124836.mp4""]",1.48,1.794,"{""TEMPORAL-SEGMENTS"":""1""}"
"49_nzK3EpQw","[""VID_20231118_124841.mp4""]",0,0.58,"{""TEMPORAL-SEGMENTS"":""1""}"
"49_N90aWqBi","[""VID_20231118_124841.mp4""]",0.58,2,"{""TEMPORAL-SEGMENTS"":""0""}"
"49_5oogloOx","[""VID_20231118_124841.mp4""]",2,2.347,"{""TEMPORAL-SEGMENTS"":""1""}"
"56_YyWXuXjX","[""VID_20231130_205759.mp4""]",0,0.9,"{""TEMPORAL-SEGMENTS"":""1""}"
"56_SGSkcnlv","[""VID_20231130_205759.mp4""]",0.9,2.44,"{""TEMPORAL-SEGMENTS"":""0""}"
"56_i2HrP1bS","[""VID_20231130_205759.mp4""]",2.44,2.871,"{""TEMPORAL-SEGMENTS"":""1""}"
"57_YgONEnGt","[""VID_20231130_205809.mp4""]",0,0.94,"{""TEMPORAL-SEGMENTS"":""1""}"
"57_agjHYq0e","[""VID_20231130_205809.mp4""]",0.94,3.36,"{""TEMPORAL-SEGMENTS"":""0""}"
"57_pIIsI2Ao","[""VID_20231130_205809.mp4""]",3.36,3.627,"{""TEMPORAL-SEGMENTS"":""1""}"
"58_GFIGm7a5","[""VID_20231130_205820.mp4""]",0,0.26,"{""TEMPORAL-SEGMENTS"":""1""}"
"58_xsKYqhhV","[""VID_20231130_205820.mp4""]",0.26,2.28,"{""TEMPORAL-SEGMENTS"":""0""}"
"58_PKhfzlIv","[""VID_20231130_205820.mp4""]",2.28,2.675,"{""TEMPORAL-SEGMENTS"":""1""}"
"59_9lpn17lh","[""VID_20231130_205834.mp4""]",0,0.24,"{""TEMPORAL-SEGMENTS"":""1""}"
"59_GgoalCMP","[""VID_20231130_205834.mp4""]",0.24,2.18,"{""TEMPORAL-SEGMENTS"":""0""}"
"59_nRKb4Cju","[""VID_20231130_205834.mp4""]",2.18,2.414,"{""TEMPORAL-SEGMENTS"":""1""}"
"60_f2QGTXjA","[""VID_20231130_205839.mp4""]",0,0.28,"{""TEMPORAL-SEGMENTS"":""1""}"
"60_juXfzXYr","[""VID_20231130_205839.mp4""]",0.28,2.08,"{""TEMPORAL-SEGMENTS"":""0""}"
"60_xnI5POy7","[""VID_20231130_205839.mp4""]",2.08,2.545,"{""TEMPORAL-SEGMENTS"":""1""}"
"61_5XsvoJV5","[""VID_20231130_205844.mp4""]",0,1.7,"{""TEMPORAL-SEGMENTS"":""0""}"
"61_9BBbWHOW","[""VID_20231130_205844.mp4""]",1.7,2.062,"{""TEMPORAL-SEGMENTS"":""1""}"
"62_GN9UuXrV","[""VID_20231130_205849.mp4""]",0,0.2,"{""TEMPORAL-SEGMENTS"":""1""}"
"62_KC5TvK9h","[""VID_20231130_205849.mp4""]",0.2,1.96,"{""TEMPORAL-SEGMENTS"":""0""}"
"62_XMjwtLFG","[""VID_20231130_205849.mp4""]",1.96,2.176,"{""TEMPORAL-SEGMENTS"":""1""}"
"63_C2SH1Z0L","[""VID_20231130_205854.mp4""]",0,0.16,"{""TEMPORAL-SEGMENTS"":""1""}"
"63_Q2jsxQgO","[""VID_20231130_205854.mp4""]",0.16,2.1,"{""TEMPORAL-SEGMENTS"":""0""}"
"63_rC7Cpprj","[""VID_20231130_205854.mp4""]",2.1,2.249,"{""TEMPORAL-SEGMENTS"":""1""}"
"64_icFrnkIc","[""VID_20231130_205859.mp4""]",0,0.18,"{""TEMPORAL-SEGMENTS"":""1""}"
"64_UyJrreYO","[""VID_20231130_205859.mp4""]",0.18,2.16,"{""TEMPORAL-SEGMENTS"":""0""}"
"64_iNqQ9XK4","[""VID_20231130_205859.mp4""]",2.16,2.54,"{""TEMPORAL-SEGMENTS"":""1""}"
"65_fGGnJlYf","[""VID_20231205_203400.mp4""]",0,2.92,"{""TEMPORAL-SEGMENTS"":""1""}"
"65_Bj4fp6De","[""VID_20231205_203400.mp4""]",2.92,4.48,"{""TEMPORAL-SEGMENTS"":""0""}"
"66_R0W0Et7d","[""VID_20231205_203412.mp4""]",0,1.46,"{""TEMPORAL-SEGMENTS"":""1""}"
"66_xZAaaG0t","[""VID_20231205_203412.mp4""]",1.46,2.9,"{""TEMPORAL-SEGMENTS"":""0""}"
"67_A87hsuvA","[""VID_20231205_203421.mp4""]",0,1.12,"{""TEMPORAL-SEGMENTS"":""1""}"
"67_RrPj6m2F","[""VID_20231205_203421.mp4""]",1.12,2.86,"{""TEMPORAL-SEGMENTS"":""0""}"
"67_GAqoGdj8","[""VID_20231205_203421.mp4""]",2.86,3.086,"{""TEMPORAL-SEGMENTS"":""1""}"
"68_6F2DhXJL","[""VID_20231205_203428.mp4""]",0,0.94,"{""TEMPORAL-SEGMENTS"":""1""}"
"68_fbnXXU9l","[""VID_20231205_203428.mp4""]",0.94,2.66,"{""TEMPORAL-SEGMENTS"":""0""}"
"68_sPaNEF5k","[""VID_20231205_203428.mp4""]",2.66,2.816,"{""TEMPORAL-SEGMENTS"":""1""}"
"69_eWvv6XyX","[""VID_20231205_203436.mp4""]",0,1,"{""TEMPORAL-SEGMENTS"":""1""}"
"69_xyaiAxjO","[""VID_20231205_203436.mp4""]",1,2.8,"{""TEMPORAL-SEGMENTS"":""0""}"
"69_hCdvoFBi","[""VID_20231205_203436.mp4""]",2.8,3.028,"{""TEMPORAL-SEGMENTS"":""1""}"
"70_6XoMzmGX","[""VID_20231205_203442.mp4""]",0,1.12,"{""TEMPORAL-SEGMENTS"":""1""}"
"70_yC0cZGL6","[""VID_20231205_203442.mp4""]",1.12,2.74,"{""TEMPORAL-SEGMENTS"":""0""}"
"71_FbKd2xBd","[""VID_20231205_203449.mp4""]",0,0.56,"{""TEMPORAL-SEGMENTS"":""1""}"
"71_OCMkMkQ6","[""VID_20231205_203449.mp4""]",0.56,2.26,"{""TEMPORAL-SEGMENTS"":""0""}"
"71_xqEodXX4","[""VID_20231205_203449.mp4""]",2.26,2.596,"{""TEMPORAL-SEGMENTS"":""1""}"
"72_kMEU2Kl5","[""VID_20231206_193147.mp4""]",0,1.14,"{""TEMPORAL-SEGMENTS"":""1""}"
"72_DhXjIDkG","[""VID_20231206_193147.mp4""]",1.14,2.56,"{""TEMPORAL-SEGMENTS"":""0""}"
"72_zrQRRlic","[""VID_20231206_193147.mp4""]",2.56,2.909,"{""TEMPORAL-SEGMENTS"":""1""}"
"73_SQlh9fCi","[""VID_20231206_193154.mp4""]",0,0.22,"{""TEMPORAL-SEGMENTS"":""1""}"
"73_kUk9qnvC","[""VID_20231206_193154.mp4""]",0.22,1.78,"{""TEMPORAL-SEGMENTS"":""0""}"
"73_B6xuzuwT","[""VID_20231206_193154.mp4""]",1.78,2.123,"{""TEMPORAL-SEGMENTS"":""1""}"
"74_LuOskdTg","[""VID_20231206_193210.mp4""]",0,0.46,"{""TEMPORAL-SEGMENTS"":""1""}"
"74_FvzrT8CR","[""VID_20231206_193210.mp4""]",0.46,1.98,"{""TEMPORAL-SEGMENTS"":""0""}"
"75_DlX7BQsY","[""VID_20231206_193217.mp4""]",0,0.38,"{""TEMPORAL-SEGMENTS"":""1""}"
"75_QXhGMoip","[""VID_20231206_193217.mp4""]",0.38,2.08,"{""TEMPORAL-SEGMENTS"":""0""}"
"75_GFcadt6f","[""VID_20231206_193217.mp4""]",2.08,2.478,"{""TEMPORAL-SEGMENTS"":""1""}"
"76_LNKMo1pj","[""VID_20231206_193223.mp4""]",0,1.74,"{""TEMPORAL-SEGMENTS"":""0""}"
"77_GgXZrKwb","[""VID_20231206_193232.mp4""]",0,0.5,"{""TEMPORAL-SEGMENTS"":""1""}"
"78_OV9uzGEZ","[""VID_20231206_193241.mp4""]",0,1.7,"{""TEMPORAL-SEGMENTS"":""0""}"
"78_VHppDGrd","[""VID_20231206_193241.mp4""]",1.7,1.92,"{""TEMPORAL-SEGMENTS"":""1""}"
"79_LOt248zO","[""VID_20231206_193420.mp4""]",0,0.9,"{""TEMPORAL-SEGMENTS"":""1""}"
"79_Yyg2a45A","[""VID_20231206_193420.mp4""]",0.9,2.54,"{""TEMPORAL-SEGMENTS"":""0""}"
"79_ZdxbKh9v","[""VID_20231206_193420.mp4""]",2.54,2.816,"{""TEMPORAL-SEGMENTS"":""1""}"
"80_gw6N53YF","[""VID_20231111_104423.mp4""]",0,1.38,"{""TEMPORAL-SEGMENTS"":""0""}"
"81_1iD14WKJ","[""VID_20231111_104449.mp4""]",0.014,1.336,"{""TEMPORAL-SEGMENTS"":""0""}"
"85_xRJmQXXX","[""VID_20231111_104512.mp4""]",0.823,1.943,"{""TEMPORAL-SEGMENTS"":""0""}"
"85_9tntX0Ni","[""VID_20231111_104512.mp4""]",1.943,2.347,"{""TEMPORAL-SEGMENTS"":""1""}"
"86_CKaKX6tT","[""VID_20231111_104519.mp4""]",0.38,2.16,"{""TEMPORAL-SEGMENTS"":""0""}"
"86_mltavfrA","[""VID_20231111_104519.mp4""]",0,0.34,"{""TEMPORAL-SEGMENTS"":""1""}"
"87_jscVJIn6","[""VID_20231111_104821.mp4""]",0,1.06,"{""TEMPORAL-SEGMENTS"":""0""}"
"87_MegMgSV6","[""VID_20231111_104821.mp4""]",1.06,1.229,"{""TEMPORAL-SEGMENTS"":""1""}"
"90_nP08OX0O","[""VID_20231111_104849.mp4""]",0.011,0.732,"{""TEMPORAL-SEGMENTS"":""0""}"
"96_eE30rfLa","[""VID_20231111_105410.mp4""]",0,1.62,"{""TEMPORAL-SEGMENTS"":""2""}"
"97_10dKpRpW","[""VID_20231111_105427.mp4""]",1.304,1.904,"{""TEMPORAL-SEGMENTS"":""1""}"
"98_aL3aBWTY","[""VID_20231111_105433.mp4""]",0,1.02,"{""TEMPORAL-SEGMENTS"":""2""}"
"98_k6Z83hNH","[""VID_20231111_105433.mp4""]",1.02,1.646,"{""TEMPORAL-SEGMENTS"":""1""}"
"99_xciPXfin","[""VID_20231111_105438.mp4""]",0,1.3,"{""TEMPORAL-SEGMENTS"":""2""}"
"100_sHWSoOTQ","[""VID_20231111_105444.mp4""]",0,1.2,"{""TEMPORAL-SEGMENTS"":""2""}"
"100_lVUDZslS","[""VID_20231111_105444.mp4""]",1.2,1.429,"{""TEMPORAL-SEGMENTS"":""1""}"
"101_ehPMSk61","[""VID_20231111_105449.mp4""]",0,1.48,"{""TEMPORAL-SEGMENTS"":""2""}"
"101_4LG9qRBy","[""VID_20231111_105449.mp4""]",1.48,2.027,"{""TEMPORAL-SEGMENTS"":""1""}"
"102_UXaYfTPT","[""VID_20231111_105654.mp4""]",0,0.874,"{""TEMPORAL-SEGMENTS"":""2""}"
"105_hAhdoJ4d","[""VID_20231111_105920.mp4""]",0,0.832,"{""TEMPORAL-SEGMENTS"":""2""}"
"106_MQg81szE","[""VID_20231111_105929.mp4""]",0,1.08,"{""TEMPORAL-SEGMENTS"":""2""}"
"106_A7AduR46","[""VID_20231111_105929.mp4""]",1.08,1.906,"{""TEMPORAL-SEGMENTS"":""1""}"
"107_1NaG8vUX","[""VID_20231111_105936.mp4""]",0,1.14,"{""TEMPORAL-SEGMENTS"":""2""}"
"108_mrdnJcVl","[""VID_20231111_105942.mp4""]",0,0.885,"{""TEMPORAL-SEGMENTS"":""2""}"
"109_K8HzZRXS","[""VID_20231111_105947.mp4""]",0,1.04,"{""TEMPORAL-SEGMENTS"":""2""}"
"110_wG5WBjQc","[""VID_20231111_105953.mp4""]",0,0.885,"{""TEMPORAL-SEGMENTS"":""2""}"
"111_Vgi3OsXX","[""VID_20231111_105959.mp4""]",0,0.889,"{""TEMPORAL-SEGMENTS"":""2""}"
"112_Z1AEXzMc","[""VID_20231111_110004.mp4""]",0,0.952,"{""TEMPORAL-SEGMENTS"":""2""}"
"113_8XHD5Kyq","[""VID_20231111_110329.mp4""]",0,1.06,"{""TEMPORAL-SEGMENTS"":""2""}"
"114_HIiXVjqK","[""VID_20231111_110336.mp4""]",0,1.34,"{""TEMPORAL-SEGMENTS"":""2""}"
"115_Xjt6rVBE","[""VID_20231111_110342.mp4""]",0,1.2,"{""TEMPORAL-SEGMENTS"":""2""}"
"115_RljtYJYt","[""VID_20231111_110342.mp4""]",1.2,1.472,"{""TEMPORAL-SEGMENTS"":""1""}"
"116_pKvt0axQ","[""VID_20231111_110347.mp4""]",0,0.832,"{""TEMPORAL-SEGMENTS"":""2""}"
"117_paXnAkNM","[""VID_20231111_110352.mp4""]",0,0.652,"{""TEMPORAL-SEGMENTS"":""2""}"
"118_WeOd76G5","[""VID_20231111_110357.mp4""]",0,0.855,"{""TEMPORAL-SEGMENTS"":""2""}"
"119_nXRKb3LL","[""VID_20231111_110401.mp4""]",0,1.02,"{""TEMPORAL-SEGMENTS"":""2""}"
"120_f7tHYXgX","[""VID_20231111_110406.mp4""]",0,0.789,"{""TEMPORAL-SEGMENTS"":""2""}"
"121_bEGJgXz8","[""VID_20231111_110411.mp4""]",0,0.95,"{""TEMPORAL-SEGMENTS"":""2""}"
"122_6xVdWQEo","[""VID_20231111_110415.mp4""]",0,1.58,"{""TEMPORAL-SEGMENTS"":""2""}"
"123_24YqCnXy","[""VID_20231111_110421.mp4""]",0,1.92,"{""TEMPORAL-SEGMENTS"":""2""}"
"124_qDjUKmoX","[""VID_20231111_110757.mp4""]",0,1.04,"{""TEMPORAL-SEGMENTS"":""2""}"
"125_kwM9UDEy","[""VID_20231111_110819.mp4""]",0.3,1.38,"{""TEMPORAL-SEGMENTS"":""2""}"
"125_Ha7sV3TT","[""VID_20231111_110819.mp4""]",0,0.32,"{""TEMPORAL-SEGMENTS"":""1""}"
"126_kXLV0yxX","[""VID_20231111_110843.mp4""]",0,0.868,"{""TEMPORAL-SEGMENTS"":""0""}"
"127_NIHaKvi4","[""VID_20231111_111255.mp4""]",0,0.949,"{""TEMPORAL-SEGMENTS"":""2""}"
"129_XNnqDrXd","[""VID_20231111_111303.mp4""]",0,1.2,"{""TEMPORAL-SEGMENTS"":""2""}"
"130_Rw0I7Ezr","[""VID_20231111_111315.mp4""]",0,0.832,"{""TEMPORAL-SEGMENTS"":""2""}"
"131_D6UAkn58","[""VID_20231111_111330.mp4""]",0,1.92,"{""TEMPORAL-SEGMENTS"":""2""}"
"131_zV0X1Zxp","[""VID_20231111_111330.mp4""]",1.92,2.157,"{""TEMPORAL-SEGMENTS"":""1""}"
"132_UPWYfExy","[""VID_20231111_111336.mp4""]",0,1.62,"{""TEMPORAL-SEGMENTS"":""2""}"
"132_xipglfRT","[""VID_20231111_111336.mp4""]",1.62,1.92,"{""TEMPORAL-SEGMENTS"":""1""}"
"133_VS77jjOl","[""VID_20231111_111341.mp4""]",0,0.978,"{""TEMPORAL-SEGMENTS"":""2""}"
"134_zvJCKAow","[""VID_20231111_111346.mp4""]",0,1.36,"{""TEMPORAL-SEGMENTS"":""2""}"
"134_XRuUb1Xp","[""VID_20231111_111346.mp4""]",1.36,1.771,"{""TEMPORAL-SEGMENTS"":""1""}"
"135_wYUugWgn","[""VID_20231111_111351.mp4""]",0,1.64,"{""TEMPORAL-SEGMENTS"":""2""}"
"136_JW3uXg8r","[""VID_20231111_111356.mp4""]",0,1.1,"{""TEMPORAL-SEGMENTS"":""2""}"
"137_zHl0hdr7","[""VID_20231118_124847.mp4""]",0,1.7,"{""TEMPORAL-SEGMENTS"":""2""}"
"137_u3gzIMXs","[""VID_20231118_124847.mp4""]",1.7,1.895,"{""TEMPORAL-SEGMENTS"":""1""}"
"138_POhzIK5O","[""VID_20231118_124852.mp4""]",0,1.18,"{""TEMPORAL-SEGMENTS"":""2""}"
"138_0D7mQsVZ","[""VID_20231118_124852.mp4""]",1.18,1.647,"{""TEMPORAL-SEGMENTS"":""1""}"
"139_3XXrubKQ","[""VID_20231118_124857.mp4""]",0.06,1.62,"{""TEMPORAL-SEGMENTS"":""2""}"
"139_XfuO4984","[""VID_20231118_124857.mp4""]",1.62,2.065,"{""TEMPORAL-SEGMENTS"":""1""}"
"140_gnXE0yXd","[""VID_20231118_124902.mp4""]",0.04,1.72,"{""TEMPORAL-SEGMENTS"":""2""}"
"140_X2uBQSbK","[""VID_20231118_124902.mp4""]",1.72,2.315,"{""TEMPORAL-SEGMENTS"":""1""}"
"141_ugWGYeFj","[""VID_20231118_124908.mp4""]",0.16,1.84,"{""TEMPORAL-SEGMENTS"":""2""}"
"141_pvjXSKvx","[""VID_20231118_124908.mp4""]",1.84,2.283,"{""TEMPORAL-SEGMENTS"":""1""}"
"142_783b5zxD","[""VID_20231118_124913.mp4""]",0,1.86,"{""TEMPORAL-SEGMENTS"":""2""}"
"142_SHyGpLCK","[""VID_20231118_124913.mp4""]",1.86,2.453,"{""TEMPORAL-SEGMENTS"":""1""}"
"143_2FpXCO2i","[""VID_20231118_124918.mp4""]",0,1.78,"{""TEMPORAL-SEGMENTS"":""2""}"
"143_8HAQDGc0","[""VID_20231118_124918.mp4""]",1.78,2.565,"{""TEMPORAL-SEGMENTS"":""1""}"
"144_arYwRREh","[""VID_20231118_124923.mp4""]",0.32,1.96,"{""TEMPORAL-SEGMENTS"":""2""}"
"144_1Glkq1Om","[""VID_20231118_124923.mp4""]",1.96,2.294,"{""TEMPORAL-SEGMENTS"":""1""}"
"145_Pq9W3LoF","[""VID_20231111_110656.mp4""]",0,1.5,"{""TEMPORAL-SEGMENTS"":""4""}"
"146_Jol1vviP","[""VID_20231118_123434.mp4""]",0,0.64,"{""TEMPORAL-SEGMENTS"":""4""}"
"146_7CFmHu21","[""VID_20231118_123434.mp4""]",0.64,1.243,"{""TEMPORAL-SEGMENTS"":""1""}"
"147_wzXhlzFe","[""VID_20231118_123450.mp4""]",0,0.44,"{""TEMPORAL-SEGMENTS"":""1""}"
"147_bWDigb6g","[""VID_20231118_123450.mp4""]",0.44,1.6,"{""TEMPORAL-SEGMENTS"":""4""}"
"147_pbmYFbUr","[""VID_20231118_123450.mp4""]",1.6,2.62,"{""TEMPORAL-SEGMENTS"":""1""}"
"148_AnhywIsu","[""VID_20231118_123455.mp4""]",0.28,1.6,"{""TEMPORAL-SEGMENTS"":""2""}"
"148_vDi6gvq8","[""VID_20231118_123455.mp4""]",1.6,1.916,"{""TEMPORAL-SEGMENTS"":""1""}"
"149_ksfDXuk4","[""VID_20231118_123500.mp4""]",0,0.28,"{""TEMPORAL-SEGMENTS"":""1""}"
"149_h7g9ThXa","[""VID_20231118_123500.mp4""]",0.28,1.44,"{""TEMPORAL-SEGMENTS"":""4""}"
"149_6tCM2Iof","[""VID_20231118_123500.mp4""]",1.44,1.802,"{""TEMPORAL-SEGMENTS"":""1""}"
"150_L1Xu5rbs","[""VID_20231118_123504.mp4""]",0,0.26,"{""TEMPORAL-SEGMENTS"":""1""}"
"150_tngcWnIS","[""VID_20231118_123504.mp4""]",0.26,1.14,"{""TEMPORAL-SEGMENTS"":""4""}"
"150_Dv0wXWU2","[""VID_20231118_123504.mp4""]",1.14,1.451,"{""TEMPORAL-SEGMENTS"":""1""}"
"151_ezCGUDgZ","[""VID_20231118_123606.mp4""]",0,1.1,"{""TEMPORAL-SEGMENTS"":""4""}"
"151_ghkjovvF","[""VID_20231118_123606.mp4""]",1.1,2.56,"{""TEMPORAL-SEGMENTS"":""1""}"
"152_3V1NPgqn","[""VID_20231118_123616.mp4""]",0,0.32,"{""TEMPORAL-SEGMENTS"":""1""}"
"152_60tHlDkY","[""VID_20231118_123616.mp4""]",0.32,1.76,"{""TEMPORAL-SEGMENTS"":""4""}"
"152_f5RZtCS4","[""VID_20231118_123616.mp4""]",1.76,2.304,"{""TEMPORAL-SEGMENTS"":""1""}"
"153_1iHlxpw3","[""VID_20231118_123627.mp4""]",0,0.39976,"{""TEMPORAL-SEGMENTS"":""1""}"
"153_4XJcRYZS","[""VID_20231118_123627.mp4""]",0.4,2.1,"{""TEMPORAL-SEGMENTS"":""4""}"
"153_p5DW6fCQ","[""VID_20231118_123627.mp4""]",2.1,2.631,"{""TEMPORAL-SEGMENTS"":""1""}"
"154_XwmM0N03","[""VID_20231118_123633.mp4""]",0,0.36,"{""TEMPORAL-SEGMENTS"":""1""}"
"154_tGZQvg3B","[""VID_20231118_123633.mp4""]",0.36,1.88,"{""TEMPORAL-SEGMENTS"":""4""}"
"154_VQpnBN8b","[""VID_20231118_123633.mp4""]",1.88,2.709,"{""TEMPORAL-SEGMENTS"":""1""}"
"155_XUHmVO86","[""VID_20231118_123639.mp4""]",0,0.22,"{""TEMPORAL-SEGMENTS"":""1""}"
"155_kEJ3VJXe","[""VID_20231118_123639.mp4""]",0.22,1.96,"{""TEMPORAL-SEGMENTS"":""4""}"
"155_PlCz1gab","[""VID_20231118_123639.mp4""]",1.96,2.386,"{""TEMPORAL-SEGMENTS"":""1""}"
"156_zXbJXmxX","[""VID_20231118_123645.mp4""]",0,0.34,"{""TEMPORAL-SEGMENTS"":""1""}"
"156_KlwyurFQ","[""VID_20231118_123645.mp4""]",0.34,2.16,"{""TEMPORAL-SEGMENTS"":""4""}"
"157_IcABSgzs","[""VID_20231118_123650.mp4""]",0,0.22,"{""TEMPORAL-SEGMENTS"":""1""}"
"157_II8aApIy","[""VID_20231118_123650.mp4""]",0.22,2.16,"{""TEMPORAL-SEGMENTS"":""4""}"
"158_7e9XtydS","[""VID_20231118_123655.mp4""]",0,0.88,"{""TEMPORAL-SEGMENTS"":""1""}"
"158_mWNlpAKD","[""VID_20231118_123655.mp4""]",0.88,2.48,"{""TEMPORAL-SEGMENTS"":""4""}"
